strategy,faithfulness,context_relevancy,answer_correctness,latency
macro_overlap100,0.45666666666666667,0.5833333333333334,0.44666666666666666,3.8175797700881957
macro_overlap200,0.47333333333333333,0.61,0.49333333333333335,3.1571663856506347
micro_overlap20,0.44,0.5399999999999999,0.43333333333333335,2.627718146642049
micro_overlap40,0.4233333333333333,0.5666666666666667,0.4033333333333333,2.6184973160425824
semantic,0.39333333333333337,0.5833333333333334,0.3433333333333334,3.3279950459798178
standard_overlap100,0.515,0.6566666666666666,0.47833333333333333,3.409561355908712
standard_overlap50,0.5166666666666667,0.6266666666666667,0.5,3.2234151283899943
