strategy,faithfulness,context_relevancy,answer_correctness,latency
macro_overlap100,0.4,0.53,0.38666666666666666,2.5869717756907145
macro_overlap200,0.44,0.4966666666666667,0.41333333333333333,2.6671021143595377
micro_overlap20,0.33666666666666667,0.38666666666666666,0.2966666666666667,1.9044318358103434
micro_overlap40,0.36000000000000004,0.38,0.2733333333333333,1.7717129389444988
semantic,0.43333333333333335,0.48333333333333334,0.4066666666666666,2.621248801549276
standard_overlap100,0.4033333333333333,0.48333333333333334,0.38,2.1752225160598755
standard_overlap50,0.45666666666666667,0.5166666666666667,0.43333333333333335,2.1206144094467163
